temperature,humidity,light,timestamp
22.6,77.0,0,2025-12-09 03:37:36.497000+05:30
23.0,77.0,0,2025-12-09 03:32:34.519000+05:30
23.0,77.0,0,2025-12-09 03:27:31.954000+05:30
23.0,77.0,0,2025-12-09 03:22:30.263000+05:30
23.0,77.0,0,2025-12-09 03:17:28.278000+05:30
23.4,77.0,0,2025-12-09 03:12:26.081000+05:30
23.4,76.0,0,2025-12-09 03:07:24.098000+05:30
23.4,76.0,0,2025-12-09 03:02:21.430000+05:30
23.8,75.0,0,2025-12-09 02:57:19.624000+05:30
23.8,73.0,0,2025-12-09 02:52:17.853000+05:30
24.1,73.0,0,2025-12-09 02:47:15.871000+05:30
24.1,72.0,0,2025-12-09 02:42:13.889000+05:30
24.2,71.0,0,2025-12-09 02:37:10.991000+05:30
24.5,69.0,0,2025-12-09 02:32:08.772000+05:30
24.5,69.0,0,2025-12-09 02:27:06.928000+05:30
24.5,69.0,0,2025-12-09 02:22:05.155000+05:30
24.8,69.0,0,2025-12-09 02:17:02.961000+05:30
24.8,68.0,0,2025-12-09 02:12:00.760000+05:30
25.3,68.0,0,2025-12-09 02:06:58.697000+05:30
25.3,68.0,0,2025-12-09 02:01:56.607000+05:30
25.3,68.0,0,2025-12-09 01:56:54.721000+05:30
25.3,68.0,0,2025-12-09 01:51:52.947000+05:30
25.3,67.0,0,2025-12-09 01:46:45.358000+05:30
25.3,69.0,0,2025-12-09 01:41:43.567000+05:30
25.3,66.0,0,2025-12-09 01:36:41.791000+05:30
25.3,69.0,0,2025-12-09 01:31:40.192000+05:30
25.3,68.0,0,2025-12-09 01:26:38.148000+05:30
25.3,68.0,0,2025-12-09 01:21:36.557000+05:30
25.3,68.0,0,2025-12-09 01:16:34.552000+05:30
25.3,67.0,0,2025-12-09 01:11:32.536000+05:30
25.3,68.0,0,2025-12-09 01:06:30.715000+05:30
25.8,68.0,0,2025-12-09 01:01:29.002000+05:30
25.8,68.0,0,2025-12-09 00:56:27.124000+05:30
25.8,68.0,0,2025-12-09 00:51:25.489000+05:30
25.8,68.0,0,2025-12-09 00:46:23.276000+05:30
25.8,68.0,0,2025-12-09 00:41:21.155000+05:30
26.2,67.0,0,2025-12-09 00:36:19.030000+05:30
26.2,69.0,0,2025-12-09 00:31:17.255000+05:30
26.2,69.0,0,2025-12-09 00:26:15.255000+05:30
26.2,69.0,0,2025-12-09 00:21:13.390000+05:30
26.2,68.0,0,2025-12-09 00:16:11.332000+05:30
26.7,69.0,0,2025-12-09 00:11:09.760000+05:30
26.7,65.0,0,2025-12-09 00:06:08.049000+05:30
26.7,68.0,0,2025-12-09 00:01:06.194000+05:30
26.7,69.0,0,2025-12-08 23:56:04.212000+05:30
26.7,69.0,0,2025-12-08 23:51:02.648000+05:30
26.7,70.0,0,2025-12-08 23:46:00.962000+05:30
26.7,72.0,0,2025-12-08 23:40:59.353000+05:30
26.7,72.0,0,2025-12-08 23:35:57.920000+05:30
26.2,73.0,0,2025-12-08 23:30:56.098000+05:30
26.2,75.0,0,2025-12-08 23:25:54.241000+05:30
26.2,77.0,0,2025-12-08 23:20:51.455000+05:30
26.2,79.0,0,2025-12-08 23:15:49.876000+05:30
26.2,82.0,0,2025-12-08 23:10:48.206000+05:30
26.2,86.0,0,2025-12-08 23:05:45.922000+05:30
26.2,89.0,0,2025-12-08 23:00:43.818000+05:30
26.2,89.0,0,2025-12-08 22:55:41.628000+05:30
26.2,91.0,0,2025-12-08 22:50:39.708000+05:30
26.2,91.0,0,2025-12-08 22:45:38.183000+05:30
26.7,91.0,0,2025-12-08 22:40:36.315000+05:30
26.7,92.0,0,2025-12-08 22:35:34.336000+05:30
26.7,92.0,0,2025-12-08 22:30:31.090000+05:30
26.7,92.0,0,2025-12-08 22:25:29.343000+05:30
26.7,92.0,0,2025-12-08 22:20:27.471000+05:30
26.7,92.0,0,2025-12-08 22:15:25.814000+05:30
26.7,93.0,0,2025-12-08 22:10:24.196000+05:30
26.7,93.0,0,2025-12-08 22:05:22.428000+05:30
26.7,93.0,0,2025-12-08 22:00:20.504000+05:30
26.7,93.0,0,2025-12-08 21:55:18.272000+05:30
26.7,93.0,0,2025-12-08 21:50:16.480000+05:30
26.7,93.0,0,2025-12-08 21:45:14.831000+05:30
26.7,93.0,0,2025-12-08 21:40:12.700000+05:30
26.7,93.0,0,2025-12-08 21:35:10.968000+05:30
27.1,93.0,0,2025-12-08 21:30:09.145000+05:30
27.1,93.0,0,2025-12-08 21:25:07.305000+05:30
27.1,93.0,0,2025-12-08 21:20:05.648000+05:30
26.7,93.0,0,2025-12-08 21:15:03.848000+05:30
26.7,93.0,0,2025-12-08 21:10:01.596000+05:30
26.7,92.0,0,2025-12-08 21:05:00.081000+05:30
27.1,92.0,0,2025-12-08 20:59:58.095000+05:30
27.1,92.0,0,2025-12-08 20:54:56.426000+05:30
27.1,92.0,0,2025-12-08 20:49:54.434000+05:30
27.6,91.0,0,2025-12-08 20:44:52.320000+05:30
27.6,91.0,0,2025-12-08 20:39:50.371000+05:30
27.6,91.0,0,2025-12-08 20:34:48.827000+05:30
27.6,91.0,0,2025-12-08 20:29:47.341000+05:30
27.6,91.0,0,2025-12-08 20:24:45.371000+05:30
27.6,91.0,0,2025-12-08 20:19:43.508000+05:30
27.6,91.0,0,2025-12-08 20:14:41.917000+05:30
27.6,90.0,0,2025-12-08 20:09:39.819000+05:30
27.6,90.0,0,2025-12-08 20:04:37.860000+05:30
28.0,89.0,0,2025-12-08 19:59:36.044000+05:30
28.0,88.0,0,2025-12-08 19:54:34.252000+05:30
28.0,88.0,0,2025-12-08 19:49:32.501000+05:30
28.0,88.0,0,2025-12-08 19:44:30.626000+05:30
28.5,88.0,0,2025-12-08 19:39:29.061000+05:30
28.5,87.0,0,2025-12-08 19:34:26.711000+05:30
28.9,87.0,0,2025-12-08 19:29:25.107000+05:30
28.9,86.0,0,2025-12-08 19:24:23.326000+05:30
28.9,86.0,0,2025-12-08 19:19:20.693000+05:30
28.9,85.0,0,2025-12-08 19:14:18.916000+05:30
29.3,84.0,0,2025-12-08 19:09:16.944000+05:30
29.3,84.0,0,2025-12-08 19:04:15.194000+05:30
29.3,84.0,0,2025-12-08 18:59:13.437000+05:30
29.3,83.0,0,2025-12-08 18:54:11.545000+05:30
29.3,83.0,0,2025-12-08 18:49:10.060000+05:30
29.3,83.0,0,2025-12-08 18:44:08.399000+05:30
29.3,82.0,0,2025-12-08 18:39:06.724000+05:30
29.3,82.0,0,2025-12-08 18:34:05.103000+05:30
29.3,82.0,0,2025-12-08 18:29:03.384000+05:30
29.3,82.0,0,2025-12-08 18:24:01.660000+05:30
29.8,82.0,0,2025-12-08 18:18:59.786000+05:30
29.8,81.0,83,2025-12-08 18:13:57.922000+05:30
29.8,82.0,368,2025-12-08 18:08:56.048000+05:30
29.8,81.0,633,2025-12-08 18:03:53.987000+05:30
29.8,80.0,955,2025-12-08 17:58:52.397000+05:30
30.2,79.0,1363,2025-12-08 17:53:50.723000+05:30
30.2,79.0,1616,2025-12-08 17:48:49.227000+05:30
30.2,78.0,1803,2025-12-08 17:43:47.466000+05:30
30.2,78.0,1954,2025-12-08 17:38:45.293000+05:30
30.2,78.0,1984,2025-12-08 17:33:43.205000+05:30
30.2,78.0,2131,2025-12-08 17:28:41.528000+05:30
30.8,77.0,2174,2025-12-08 17:23:39.413000+05:30
30.8,77.0,2229,2025-12-08 17:18:37.653000+05:30
30.8,77.0,2480,2025-12-08 17:13:35.839000+05:30
31.3,78.0,2625,2025-12-08 17:08:33.992000+05:30
31.3,77.0,2726,2025-12-08 17:03:32.341000+05:30
31.3,76.0,2827,2025-12-08 16:58:30.459000+05:30
31.3,76.0,2902,2025-12-08 16:53:28.474000+05:30
31.3,75.0,2928,2025-12-08 16:48:26.803000+05:30
31.3,76.0,2983,2025-12-08 16:43:25.122000+05:30
31.3,76.0,3025,2025-12-08 16:38:23.221000+05:30
31.8,76.0,3083,2025-12-08 16:33:21.143000+05:30
31.8,77.0,3118,2025-12-08 16:28:19.552000+05:30
31.8,75.0,3152,2025-12-08 16:23:17.724000+05:30
31.8,75.0,3159,2025-12-08 16:18:15.904000+05:30
31.8,75.0,3179,2025-12-08 16:13:14.163000+05:30
31.8,76.0,3171,2025-12-08 16:08:12.083000+05:30
31.8,75.0,3155,2025-12-08 16:03:10.378000+05:30
31.9,75.0,3197,2025-12-08 15:58:08.479000+05:30
32.3,75.0,3224,2025-12-08 15:53:06.016000+05:30
32.3,75.0,3248,2025-12-08 15:48:03.839000+05:30
32.3,74.0,3278,2025-12-08 15:43:02.154000+05:30
32.3,74.0,3280,2025-12-08 15:38:00.099000+05:30
32.3,75.0,3317,2025-12-08 15:32:57.881000+05:30
32.3,73.0,3327,2025-12-08 15:27:55.602000+05:30
32.8,73.0,3338,2025-12-08 15:22:53.823000+05:30
32.3,72.0,3340,2025-12-08 15:17:51.438000+05:30
32.8,71.0,3324,2025-12-08 15:12:49.543000+05:30
32.8,71.0,3332,2025-12-08 15:07:47.368000+05:30
32.8,71.0,3371,2025-12-08 15:02:45.582000+05:30
32.8,71.0,3426,2025-12-08 14:57:43.694000+05:30
33.3,69.0,3475,2025-12-08 14:52:40.860000+05:30
33.3,69.0,3535,2025-12-08 14:47:38.962000+05:30
33.3,69.0,3600,2025-12-08 14:42:37.341000+05:30
32.8,70.0,3620,2025-12-08 14:37:35.786000+05:30
32.3,71.0,3572,2025-12-08 14:32:33.683000+05:30
32.3,71.0,3510,2025-12-08 14:27:31.587000+05:30
32.3,70.0,3458,2025-12-08 14:22:29.699000+05:30
32.3,70.0,3417,2025-12-08 14:17:27.849000+05:30
32.8,69.0,3404,2025-12-08 14:12:25.757000+05:30
32.8,69.0,3306,2025-12-08 14:07:23.570000+05:30
32.8,68.0,3503,2025-12-08 14:02:21.193000+05:30
32.8,69.0,3467,2025-12-08 13:57:19.100000+05:30
33.3,68.0,3432,2025-12-08 13:52:16.807000+05:30
33.3,68.0,3564,2025-12-08 13:47:15.031000+05:30
33.3,68.0,3581,2025-12-08 13:42:13.043000+05:30
33.3,67.0,3583,2025-12-08 13:37:10.754000+05:30
33.3,68.0,3583,2025-12-08 13:32:09.101000+05:30
33.3,66.0,3600,2025-12-08 13:27:07.425000+05:30
33.3,66.0,3601,2025-12-08 13:22:05.737000+05:30
33.3,66.0,3583,2025-12-08 13:17:03.756000+05:30
32.8,67.0,3609,2025-12-08 13:12:01.356000+05:30
33.3,66.0,3639,2025-12-08 13:06:59.175000+05:30
33.3,66.0,3633,2025-12-08 13:01:57.209000+05:30
33.3,66.0,3648,2025-12-08 12:56:55.637000+05:30
33.3,67.0,3664,2025-12-08 12:51:53.851000+05:30
33.3,68.0,3654,2025-12-08 12:46:50.964000+05:30
33.3,68.0,3680,2025-12-08 12:41:49.385000+05:30
32.8,69.0,3693,2025-12-08 12:36:47.600000+05:30
33.3,67.0,3696,2025-12-08 12:31:45.403000+05:30
33.3,67.0,3715,2025-12-08 12:26:43.240000+05:30
32.8,68.0,3719,2025-12-08 12:21:41.145000+05:30
33.3,66.0,3728,2025-12-08 12:16:39.565000+05:30
33.3,66.0,3748,2025-12-08 12:11:37.491000+05:30
33.3,66.0,3763,2025-12-08 12:06:35.793000+05:30
32.8,67.0,3776,2025-12-08 12:01:33.841000+05:30
32.8,67.0,3775,2025-12-08 11:56:32.061000+05:30
32.8,67.0,3781,2025-12-08 11:51:30.380000+05:30
32.8,67.0,3783,2025-12-08 11:46:28.857000+05:30
32.9,67.0,3792,2025-12-08 11:41:27.079000+05:30
32.8,68.0,3818,2025-12-08 11:36:25.239000+05:30
32.3,67.0,3839,2025-12-08 11:31:22.944000+05:30
32.3,69.0,3807,2025-12-08 11:26:20.464000+05:30
32.3,69.0,3789,2025-12-08 11:21:18.609000+05:30
32.3,67.0,3746,2025-12-08 11:16:16.759000+05:30
